scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Direct clinical care or management – other,Policy organisation,Volunteering,FALSE,testpostcode2,Test organisation 1,England
Policy,School,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Scotland
Commissioning,Military,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Commissioning,GP practice or other primary care,Self employed,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – health visiting,Prison,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
Quality assurance or inspection,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Quality assurance or inspection,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – adult and general care nursing,Other,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Education,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – occupational health,GP practice or other primary care,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Policy,Insurance or legal,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Other,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Research,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Occupational health,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Inspectorate or regulator,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – occupational health,Consultancy,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Governing body or other leadership,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – children’s and neo-natal nursing,University or other research facility,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – other,Maternity unit or birth centre,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – occupational health,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Prison,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Other,Voluntary or charity sector,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – health visiting,Military,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – occupational health,Insurance or legal,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
Research,University or other research facility,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – mental health nursing,Prison,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Ambulance service,Self employed,TRUE,testpostcode1,Test organisation 1,England
Commissioning,GP practice or other primary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Police,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Education,Inspectorate or regulator,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Policy,Other,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,GP practice or other primary care,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Prison,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,Governing body or other leadership,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Policy,Telephone or e-health advice,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – children’s and neo-natal nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Education,Specialist or other tertiary care including hospice,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Education,GP practice or other primary care,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Policy organisation,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Other,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Inspectorate or regulator,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Research,School,Self employed,FALSE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Quality assurance or inspection,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Quality assurance or inspection,University or other research facility,Employed via an agency,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – school nursing,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Police,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Research,Prison,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – health visiting,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Other,Ambulance service,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,School,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – health visiting,Military,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Policy,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Education,Police,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Policy,University or other research facility,Self employed,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – occupational health,Telephone or e-health advice,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – other,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – health visiting,School,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
Commissioning,Insurance or legal,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – health visiting,Police,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,Hospital or other secondary care,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – midwifery,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Research,Consultancy,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – public health,Military,Self employed,TRUE,testpostcode2,Test organisation 2,England
Other,Other,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – mental health nursing,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – mental health nursing,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – school nursing,Trade union or professional body,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – health visiting,Consultancy,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,Trade union or professional body,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Ambulance service,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,GP practice or other primary care,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Research,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – school nursing,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Education,Maternity unit or birth centre,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – learning disabilities nursing,Maternity unit or birth centre,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Other,Hospital or other secondary care,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – other,Hospital or other secondary care,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – health visiting,Telephone or e-health advice,Self employed,TRUE,testpostcode2,Test organisation 2,England
Other,Care home sector,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Education,Telephone or e-health advice,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Commissioning,Care home sector,Volunteering,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – school nursing,Telephone or e-health advice,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Commissioning,Public health organisation,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Commissioning,Military,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – occupational health,Other,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Outside UK
Research,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – mental health nursing,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Prison,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,Private domestic setting,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
Commissioning,Maternity unit or birth centre,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,Police,Self employed,FALSE,testpostcode2,Test organisation 1,England
Other,Insurance or legal,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Police,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – occupational health,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – health visiting,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Policy,Ambulance service,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,GP practice or other primary care,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
Research,Occupational health,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Other,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – other,Military,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Quality assurance or inspection,Private domestic setting,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Prison,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – midwifery,University or other research facility,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Prison,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – public health,Military,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – adult and general care nursing,Private domestic setting,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Police,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Telephone or e-health advice,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Research,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Governing body or other leadership,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – occupational health,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – health visiting,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – learning disabilities nursing,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Other,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – public health,Ambulance service,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Outside UK
Other,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Trade union or professional body,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – midwifery,Occupational health,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – occupational health,Ambulance service,Volunteering,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – occupational health,Cosmetic or aesthetic sector,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – health visiting,Inspectorate or regulator,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Policy,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Other,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – school nursing,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Northern Ireland
Other,Other,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – other,Prison,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Other,Governing body or other leadership,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – learning disabilities nursing,Specialist or other tertiary care including hospice,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,GP practice or other primary care,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – health visiting,University or other research facility,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – public health,Policy organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Occupational health,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Education,Consultancy,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – public health,Police,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – mental health nursing,Police,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
Quality assurance or inspection,School,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – occupational health,Maternity unit or birth centre,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Other,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Policy,GP practice or other primary care,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
Other,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Other,Public health organisation,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Other,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Education,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Specialist or other tertiary care including hospice,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – public health,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,School,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Education,Police,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,GP practice or other primary care,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Research,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – midwifery,Prison,Volunteering,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Other,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Military,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Police,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Education,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Research,Ambulance service,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – midwifery,GP practice or other primary care,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – other,Police,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – health visiting,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Consultancy,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Commissioning,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Commissioning,Inspectorate or regulator,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Prison,Self employed,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – other,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Research,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Ambulance service,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Private domestic setting,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – other,Occupational health,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – public health,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – public health,Voluntary or charity sector,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Quality assurance or inspection,Ambulance service,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Private domestic setting,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Voluntary or charity sector,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – mental health nursing,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Policy,Governing body or other leadership,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Research,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,England
Quality assurance or inspection,Care home sector,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,GP practice or other primary care,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Trade union or professional body,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – midwifery,Military,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Commissioning,Police,Self employed,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – occupational health,Consultancy,Volunteering,TRUE,testpostcode2,Test organisation 2,Outside UK
Policy,Military,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – other,GP practice or other primary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – midwifery,Trade union or professional body,Self employed,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,University or other research facility,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
Policy,GP practice or other primary care,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – adult and general care nursing,School,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Ambulance service,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – occupational health,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – midwifery,Policy organisation,Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – learning disabilities nursing,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – occupational health,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Police,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Public health organisation,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – midwifery,School,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Quality assurance or inspection,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Outside UK
Quality assurance or inspection,Maternity unit or birth centre,Self employed,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – occupational health,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – health visiting,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,University or other research facility,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – school nursing,Occupational health,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Maternity unit or birth centre,Volunteering,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Quality assurance or inspection,School,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Commissioning,Public health organisation,Self employed,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – learning disabilities nursing,Ambulance service,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – learning disabilities nursing,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – other,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Policy,Policy organisation,Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
Commissioning,Other,Self employed,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – learning disabilities nursing,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Ambulance service,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – school nursing,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Quality assurance or inspection,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – mental health nursing,Prison,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – health visiting,School,Employed via an agency,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,Military,Volunteering,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – adult and general care nursing,Consultancy,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – other,Private domestic setting,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – health visiting,Inspectorate or regulator,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – midwifery,Prison,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – other,GP practice or other primary care,Self employed,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – other,Policy organisation,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Policy,Consultancy,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Occupational health,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Care home sector,Volunteering,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Private domestic setting,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,School,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Other,University or other research facility,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 1,England
Research,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode1,Test organisation 2,England
Quality assurance or inspection,Care home sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
Quality assurance or inspection,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – other,Consultancy,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – school nursing,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Commissioning,Telephone or e-health advice,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Education,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Care home sector,Self employed,TRUE,testpostcode2,Test organisation 1,England
Commissioning,Police,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Research,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – mental health nursing,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode1,Test organisation 1,Northern Ireland
